Leg,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Expected_Load(%),P5_Load(%),P95_Load(%),Bottleneck_Freq(%)
BA2001ZLNTFB,BA2001,F0C0Y72,72,37.0,51.39,40.83,60.28,0.0
BA2148TFBCPJ,BA2148,F16C0Y165,165,117.2,71.03,67.27,77.82,0.0
BA2324HUGIMO,super_BA2324,F12C12Y48,48,0.0,0.0,0.0,0.0,0.0
BA2326IMOTFB,super_BA2326,F12C12Y48,48,45.6,95.0,85.0,100.0,60.0
AA0056KOVTFB,AA0056,F12C12Y48,48,31.6,65.83,52.5,76.25,0.0
AA0508TFBTOB,AA0508,F16C0Y165,165,164.8,99.88,99.52,100.0,80.0
AA0143QEYBOD,AA0143,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0515TOBTFB,AA0515,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA3455CVSQEY,AA3455,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0108BODTFB,AA0108,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2069FBUTFB,BA2069,F0C0Y76,76,30.8,40.53,27.63,53.16,0.0
AA0612TFBMBT,AA0612,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2370TKDQEY,BA2370,F0C0Y76,76,70.4,92.63,87.89,95.79,0.0
AA0065KOVBOD,super_AA0065,F0C0Y76,76,68.6,90.26,78.42,98.95,20.0
AA0181BODGBJ,AA0181,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2047TFBQEY,BA2047,F0C0Y72,72,64.0,88.89,76.67,98.89,20.0
AA0020TFBPSE,AA0020,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA3452QEYCVS,AA3452,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0212MBYNAU,AA0212,F16C0Y165,165,160.4,97.21,88.85,100.0,80.0
AA0458TFBMBY,AA0458,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0730BODTFB,super_AA0730,F16C0Y165,165,117.2,71.03,66.3,77.7,0.0
AA0002TFBEDB,AA0002,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0220TFBTGP,super_AA0220,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2352QEYHFH,BA2352,F0C0Y76,76,56.2,73.95,58.42,91.84,0.0
AA0469MBYTFB,AA0469,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0061TFBKOV,super_AA0061,F12C12Y48,48,48.0,100.0,100.0,100.0,100.0
AA0665EGXTFB,AA0665,F16C0Y165,165,144.8,87.76,78.42,99.15,20.0
AA0809QEYPHH,AA0809,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA3476TFBMHC,AA3476,F0C0Y76,76,73.0,96.05,84.21,100.0,80.0
BA2494TFBCMJ,BA2494,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0012TFBCPT,AA0012,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0128GBJTFB,AA0128,F16C0Y165,165,104.6,63.39,58.55,67.88,0.0
AA0493TBOTFB,AA0493,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2627TFBQEY,BA2627,F12C12Y48,48,48.0,100.0,100.0,100.0,100.0
AA0062BODKOV,super_AA0062,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2217TFBMXT,super_BA2217,F0C0Y76,76,58.8,77.37,63.68,85.26,0.0
AA0093TFBBOD,AA0093,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2355HFHQEY,BA2355,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2092NGSQEY,super_BA2092,F0C0Y76,76,63.2,83.16,71.58,90.53,0.0
AA0564QEYMBY,AA0564,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0101TFBBOD,AA0101,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2301CPJQEY,BA2301,F0C0Y76,76,68.4,90.0,76.84,99.74,20.0
AA0503TOBTFB,AA0503,F16C0Y165,165,163.2,98.91,96.0,100.0,60.0
AA0582QEYTOB,AA0582,F16C0Y165,165,150.4,91.15,77.7,100.0,40.0
BA2474MBYTUT,super_BA2474,F0C0Y76,76,75.6,99.47,97.89,100.0,80.0
AA0365TNGTFB,AA0365,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2087BMXTFB,BA2087,F0C0Y76,76,75.0,98.68,94.74,100.0,80.0
BA2236SENQEY,BA2236,F12C12Y48,48,46.2,96.25,85.0,100.0,80.0
BA2281TFBFVH,BA2281,F0C0Y76,76,72.4,95.26,86.58,100.0,60.0
AA0112BODTFB,AA0112,F0C0Y76,76,70.6,92.89,78.68,100.0,60.0
BA2086TFBBMX,BA2086,F12C12Y48,48,48.0,100.0,100.0,100.0,100.0
BA2386TFBZZK,BA2386,F16C0Y165,165,130.0,78.79,69.21,90.06,0.0
BA2617QEYTKD,BA2617,F0C0Y76,76,59.2,77.89,70.26,86.05,0.0
AA0233TBOTFB,super_AA0233,F16C0Y165,165,118.6,71.88,62.06,80.24,0.0
AA0231TGPTFB,super_AA0231,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0065QTHKOV,super_AA0065,F0C0Y76,76,12.2,16.05,12.37,19.47,0.0
AA3298BODEVU,AA3298,F12C12Y48,48,29.8,62.08,47.08,68.75,0.0
AA0895TKDPHH,AA0895,F16C0Y165,165,162.4,98.42,93.7,100.0,80.0
AA0363TNGTFB,AA0363,F16C0Y165,165,136.0,82.42,78.55,87.27,0.0
AA0825TBOPHH,AA0825,F16C0Y165,165,164.6,99.76,99.03,100.0,80.0
AA3472TFBMHC,AA3472,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0014TFBFXS,AA0014,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2132QEYTFB,BA2132,F0C0Y76,76,61.8,81.32,73.16,90.79,0.0
AA0848MJITKD,AA0848,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2082SENQEY,BA2082,F0C0Y76,76,50.6,66.58,60.0,73.68,0.0
AA0549QTQTFB,AA0549,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2340TFBNTP,BA2340,F0C0Y76,76,59.8,78.68,63.42,95.0,0.0
AA0103TFBBOD,AA0103,F16C0Y165,165,158.0,95.76,89.7,99.88,20.0
AA0098BODTFB,AA0098,F0C0Y76,76,56.4,74.21,66.05,88.42,0.0
BA2092QEYTFB,super_BA2092,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0755TUMTFB,AA0755,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0069LUOKOV,super_AA0069,F12C12Y48,48,20.0,41.67,29.17,57.08,0.0
AA0008TFBFXS,AA0008,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2486TFBCMJ,BA2486,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0514TFBTOB,AA0514,F16C0Y165,165,140.2,84.97,72.85,98.42,20.0
AA0041BODCFU,AA0041,F0C0Y76,76,61.4,80.79,66.05,90.0,0.0
BA2460TFBCAO,BA2460,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2168QTQTKD,super_BA2168,F0C0Y76,76,64.6,85.0,77.89,91.05,0.0
BA2452NGSTFB,BA2452,F12C12Y48,48,47.6,99.17,96.67,100.0,80.0
BA2473TUTMBT,super_BA2473,F0C0Y76,76,72.0,94.74,80.53,100.0,60.0
AA0841PBLPHH,AA0841,F16C0Y165,165,157.6,95.52,88.61,100.0,60.0
AA0507TOBTFB,AA0507,F16C0Y165,165,158.2,95.88,90.91,100.0,40.0
AA0663EGXTFB,AA0663,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0250MBYTKE,AA0250,F16C0Y165,165,155.8,94.42,85.7,100.0,40.0
AA0759NDJTFB,AA0759,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2243ZWSTFB,BA2243,F0C0Y76,76,27.0,35.53,29.21,40.79,0.0
BA2135TFBQEY,BA2135,F16C0Y165,165,82.4,49.94,42.79,56.0,0.0
BA2589QEYPBL,BA2589,F0C0Y76,76,62.0,81.58,75.0,87.37,0.0
AA0242MBYHEM,AA0242,F16C0Y165,165,164.2,99.52,98.06,100.0,80.0
AA0890PHHTBO,AA0890,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2285GDBTFB,BA2285,F0C0Y76,76,58.0,76.32,68.68,88.95,0.0
BA2040FVHQEY,BA2040,F0C0Y76,76,61.4,80.79,79.21,83.42,0.0
AA0470TFBMBY,AA0470,F16C0Y165,165,161.2,97.7,90.79,100.0,80.0
BA2104TFBQTD,BA2104,F12C12Y48,48,41.6,86.67,73.33,98.75,20.0
BA2532GBUQEY,BA2532,F0C0Y76,76,71.8,94.47,79.47,100.0,60.0
AA0323TKDTFB,AA0323,F16C0Y165,165,139.0,84.24,79.15,87.27,0.0
AA0125TFBGBJ,AA0125,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0558TFBQTQ,AA0558,F16C0Y165,165,128.0,77.58,69.21,87.39,0.0
AA0608TFBMBT,AA0608,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2475TFBTUT,super_BA2475,F0C0Y76,76,75.2,98.95,97.37,100.0,60.0
AA0522TFBCVS,AA0522,F16C0Y165,165,162.8,98.67,96.12,100.0,60.0
AA0699HFHTFB,AA0699,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2234TFBHFH,BA2234,F0C0Y76,76,62.0,81.58,74.74,85.53,0.0
BA2372TFBHFH,BA2372,F0C0Y76,76,71.2,93.68,84.21,100.0,60.0
AA0089TFBBOD,AA0089,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2570QEYTFB,BA2570,F16C0Y165,165,144.6,87.64,81.94,95.03,0.0
BA2270TFBHFH,BA2270,F0C0Y76,76,65.2,85.79,83.16,90.79,0.0
AA0703MBYZWS,AA0703,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0114BODTFB,AA0114,F0C0Y76,76,63.6,83.68,74.21,96.32,0.0
BA2526TNGQEY,BA2526,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0712ZWSMBY,AA0712,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
