Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P000143,2.95,3.07,2.95,0.0,188.0,554.6,AA0043BODCFU,AA0043,F0C0Y76,AA0043BODCFU,8.6025
P008734,2.4,2.54,2.4,0.0,231.0,554.4,AA0619MBTTFB,AA0619,F16C0Y165,AA0619MBTTFB,5.0925
P017072,2.1,2.3,2.1,0.0,264.0,554.4,AA0075TFBKOV,AA0075,F16C0Y165,AA0075TFBKOV,0.7525
P045395,4.95,4.55,4.95,0.0,112.0,554.4,BA2217TFBMXT -> BA2624QEYTFB,super_BA2217 -> BA2624,F0C0Y76 -> F16C0Y165,BA2624QEYTFB,0.4925
P046932,1.7,1.37,1.7,0.0,326.0,554.2,AA0101TFBBOD -> BA2543ZFHTFB,AA0101 -> BA2543,F16C0Y165 -> F0C0Y76,AA0101TFBBOD,4.9175
P022091,1.95,1.9,1.95,0.0,284.0,553.8,AA0660TFBEGX -> AA0730BODTFB,AA0660 -> super_AA0730,F16C0Y165 -> F16C0Y165,AA0660TFBEGX,6.905
P039856,2.6,2.35,2.6,0.0,213.0,553.8,AA0843TFBLPB,AA0843,F16C0Y165,AA0843TFBLPB,5.5125
P017708,3.5,2.99,3.5,0.0,158.0,553.0,AA0065TFBQTH,,,AA0065TFBQTH,0.0
P008590,2.85,2.55,2.85,0.0,194.0,552.9,AA0629MBTQEY,AA0629,F16C0Y165,AA0629MBTQEY,3.8125
P031827,1.8,2.42,1.8,0.0,307.0,552.6,AA0698TFBHFH -> AA0854MJITFB,AA0698 -> AA0854,F16C0Y165 -> F16C0Y165,AA0854MJITFB,11.5525
P031571,6.35,6.39,6.35,0.0,87.0,552.45,BA2472MBYTUT,BA2472,F0C0Y76,BA2472MBYTUT,3.42
P017423,2.35,2.4,2.35,0.0,235.0,552.25,AA0038TFBNTQ,AA0038,F16C0Y165,AA0038TFBNTQ,5.77
P031628,3.05,3.13,3.05,0.0,181.0,552.05,AA0711MBYZWS,AA0711,F0C0Y76,AA0711MBYZWS,5.8
P004761,1.6,1.35,1.6,0.0,345.0,552.0,AA0673EFOTFB -> AA0107TFBBOD,AA0673 -> AA0107,F16C0Y165 -> F0C0Y76,AA0107TFBBOD,10.1675
P005627,4.0,4.13,4.0,0.0,138.0,552.0,AA0052GBJBOD,super_AA0052,F12C12Y48,AA0052GBJBOD,0.0
P039793,4.0,4.23,4.0,0.0,138.0,552.0,BA2326TFBIMO,,,BA2326TFBIMO,0.0
P039861,2.4,2.35,2.4,0.0,230.0,552.0,AA0843TFBLPB,AA0843,F16C0Y165,AA0843TFBLPB,5.5125
P044954,9.2,8.61,9.2,0.0,60.0,552.0,BA2537QEYCPJ,BA2537,F0C0Y76,BA2537QEYCPJ,0.0
P008607,1.95,2.27,1.95,0.0,283.0,551.85,BA2179TFBSEN -> AA0605MBTTFB,BA2179 -> AA0605,F0C0Y76 -> F16C0Y165,AA0605MBTTFB,5.0825
P007886,3.7,4.32,3.7,0.0,149.0,551.3,AA0065LUOXSH,super_AA0065,F0C0Y76,AA0065LUOXSH,0.0
P041796,2.65,2.66,2.65,0.0,208.0,551.2,BA2475TUTMBY,super_BA2475,F0C0Y76,BA2475TUTMBY,3.9
P010322,1.65,2.09,1.65,0.0,334.0,551.1,AA0867TFBPHH -> AA0453MBYTFB,AA0867 -> AA0453,F16C0Y165 -> F16C0Y165,AA0867TFBPHH,7.5425
P040624,7.25,7.6,7.25,0.0,76.0,551.0,BA2220TFBQVX,BA2220,F0C0Y76,BA2220TFBQVX,0.0
P017590,7.0,6.9,4.05,2.95,136.0,550.8,AA0026TFBPSE,AA0026,F0C0Y76,AA0026TFBPSE,6.62
P019313,3.6,3.32,3.6,0.0,153.0,550.8,AA0062TJUTFB,,,AA0062TJUTFB,0.0
P024596,3.55,3.4,3.55,0.0,155.0,550.25,BA2422CPJQEY,BA2422,F0C0Y76,BA2422CPJQEY,3.3325
P031562,7.75,7.92,7.75,0.0,71.0,550.25,BA2404MBYTKD,super_BA2404,F0C0Y76,BA2404MBYTKD,1.945
P039879,3.55,3.8,3.55,0.0,155.0,550.25,AA0626QEYMBT -> BA2121TFBQEY,AA0626 -> BA2121,F16C0Y165 -> F16C0Y165,AA0626QEYMBT,3.695
P041597,4.2,4.31,4.2,0.0,131.0,550.2,BA2412TNGCPJ,BA2412,F0C0Y76,BA2412TNGCPJ,0.0
P002182,2.9,3.49,1.95,0.95,282.0,549.9,AA0120BODTFB -> AA0022TFBPSE,AA0120 -> AA0022,F16C0Y165 -> F16C0Y165,AA0120BODTFB,6.8675
P017902,1.85,1.79,1.85,0.0,297.0,549.45,AA0494TFBTBO,AA0494,F0C0Y76,AA0494TFBTBO,4.73
P039756,3.35,3.24,3.35,0.0,164.0,549.4,BA2324TFBHUG,super_BA2324,F12C12Y48,BA2324TFBHUG,2.685
P026782,7.35,7.89,6.1,1.25,90.0,549.0,AA0582QEYTOB -> BA2338FVHQEY,AA0582 -> BA2338,F16C0Y165 -> F0C0Y76,BA2338FVHQEY,2.5525
P002973,3.1,2.66,3.1,0.0,177.0,548.7,AA0104BODTFB,AA0104,F0C0Y76,AA0104BODTFB,0.0
P014332,2.95,2.31,2.95,0.0,186.0,548.7,AA0635QIYTFB,AA0635,F16C0Y165,AA0635QIYTFB,6.435
P019091,4.25,4.31,4.25,0.0,129.0,548.25,AA0307TGPTFB,super_AA0307,F16C0Y165,AA0307TGPTFB,0.42
P036297,10.75,11.83,10.75,0.0,51.0,548.25,BA2056QEYTFB,BA2056,F0C0Y72,BA2056QEYTFB,0.0525
P010880,4.75,4.56,2.9,1.85,189.0,548.1,AA0477MBYTFB -> BA2542TFBZFH,AA0477 -> BA2542,F0C0Y76 -> F0C0Y76,AA0477MBYTFB,5.785
P041108,6.3,5.81,6.3,0.0,87.0,548.1,BA2242TFBZWS,BA2242,F0C0Y76,BA2242TFBZWS,1.8175
P043448,3.7,4.36,3.7,0.0,148.0,547.6,BA2115ZZDTFB,BA2115,F12C12Y48,BA2115ZZDTFB,0.555
P016203,1.6,1.62,1.6,0.0,342.0,547.2,AA0081TFBBOD,AA0081,F0C0Y76,AA0081TFBBOD,11.14
P017658,3.8,4.28,3.8,0.0,144.0,547.2,AA0636TFBQIY,AA0636,F16C0Y165,AA0636TFBQIY,0.0
P039724,7.6,8.63,7.6,0.0,72.0,547.2,BA2438TFBHFH,BA2438,F0C0Y76,BA2438TFBHFH,0.325
P041018,2.25,2.13,2.25,0.0,243.0,546.75,BA2473TFBTUT,,,BA2473TFBTUT,0.0
P011796,3.55,4.4,3.55,0.0,154.0,546.7,AA0357PBLTFB,AA0357,F16C0Y165,AA0357PBLTFB,2.8125
P008882,1.65,1.05,1.65,0.0,331.0,546.15,AA0619MBTTFB -> BA2670TFBZMX,AA0619 -> BA2670,F16C0Y165 -> F0C0Y76,BA2670TFBZMX,5.125
P011595,3.3,3.69,2.15,1.15,254.0,546.1,AA0099TFBBOD -> AA0357PBLTFB,AA0099 -> AA0357,F16C0Y165 -> F16C0Y165,AA0099TFBBOD,8.8275
P029751,3.25,2.46,3.25,0.0,168.0,546.0,BA2495HFHTFB,BA2495,F0C0Y72,BA2495HFHTFB,0.33
P039313,3.25,4.16,3.25,0.0,168.0,546.0,BA2268TFBCPJ,BA2268,F0C0Y76,BA2268TFBCPJ,0.6025
P017212,19.05,17.59,6.2,12.85,88.0,545.6,AA0612TFBMBT,AA0612,F16C0Y165,AA0612TFBMBT,4.5975
P000154,2.9,3.09,2.9,0.0,188.0,545.2,AA0045BODCFU,AA0045,F0C0Y72,AA0045BODCFU,1.2325
P001182,2.35,2.17,2.35,0.0,232.0,545.2,AA0066BODKOV,,,AA0066BODKOV,0.0
P016002,3.3,2.78,3.3,0.0,165.0,544.5,BA2450QEYZWS -> AA0573TBOQEY,BA2450 -> AA0573,F0C0Y76 -> F16C0Y165,BA2450QEYZWS,0.875
P042703,3.3,4.45,3.3,0.0,165.0,544.5,AA0538TFBPOU -> BA2267ZWSTFB,AA0538 -> BA2267,F16C0Y165 -> F12C12Y48,AA0538TFBPOU,2.68
P016304,1.85,1.72,1.85,0.0,294.0,543.9,AA0103TFBBOD,AA0103,F16C0Y165,AA0103TFBBOD,2.15
P044101,3.7,2.78,3.7,0.0,147.0,543.9,BA2223QEYCPJ -> BA2609FVHQEY,BA2223 -> super_BA2609,F0C0Y76 -> F0C0Y76,BA2223QEYCPJ,2.72
P044699,3.75,3.93,3.75,0.0,145.0,543.75,BA2610PBLQEY,BA2610,F0C0Y76,BA2610PBLQEY,0.0
P046110,2.65,2.45,2.65,0.0,205.0,543.25,AA0877QEYIOM -> BA2629TFBQEY,AA0877 -> BA2629,F16C0Y165 -> F0C0Y76,AA0877QEYIOM,1.8275
P026166,5.6,5.34,5.6,0.0,97.0,543.2,AA0620QEYMBT -> BA2040FVHQEY,AA0620 -> BA2040,F16C0Y165 -> F0C0Y76,AA0620QEYMBT,0.0
P036818,5.6,6.14,5.6,0.0,97.0,543.2,BA2232QEYZWS,BA2232,F12C12Y48,BA2232QEYZWS,0.1025
P014672,3.05,2.65,3.05,0.0,178.0,542.9,AA0307QTQTFB,,,AA0307QTQTFB,0.0
P025255,2.3,2.0,2.3,0.0,236.0,542.8,AA3451CVSQEY,AA3451,F0C0Y76,AA3451CVSQEY,4.1175
P019805,2.5,2.61,2.5,0.0,217.0,542.5,AA0403TKDQEY,AA0403,F16C0Y165,AA0403TKDQEY,0.0
P018193,3.15,2.69,3.15,0.0,172.0,541.8,AA0362TFBTNG,AA0362,F16C0Y165,AA0362TFBTNG,0.0
