Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
AA0450TFBMBY,4.17,0.6077,2.5825,4.45
BA2391CPJTFB,3.415,1.4494,0.0,4.12
BA2584TFBZFH,7.035,0.1871,6.65,7.3575
AA0476TFBMBY,0.565,1.3961,0.0,4.45
AA0123TFBGBJ,13.5775,0.3541,13.35,13.8075
AA0668TFBBVT,5.05,0.0,5.05,5.05
AA0062TJULUO,0.0,0.0,0.0,0.0
BA2478MBTTUT,5.4325,0.9938,4.75,7.2625
AA0108BODTFB,6.96,1.6144,6.84,7.8
BA2174QEYTFB,0.5975,0.6001,0.0,1.2675
AA0870BODIOM,6.2775,5.3096,0.0,12.1
AA0061TFBKOV,9.5125,2.2181,8.17,10.15
AA0020TFBPSE,8.375,0.1299,8.15,8.45
AA0008TFBFXS,8.0,0.0,8.0,8.0
BA2175TFBQEY,0.0,0.0,0.0,0.0
AA0699HFHTFB,0.185,0.555,0.0,1.85
BA2576TNGQEY,1.955,1.5404,0.0,3.25
BA2297TFBSEN,0.0,0.0,0.0,0.0
BA2214TFBQVX,0.0,0.0,0.0,0.0
AA0326TFBTKD,0.0,0.0,0.0,0.0
BA2116TFBZZD,2.17,2.658,0.0,5.45
BA2632TNGQEY,0.0,0.0,0.0,0.0
AA0182GBJBOD,4.155,1.8274,0.0,6.15
BA2617QEYTKD,0.0,0.0,0.0,0.0
BA2158TFBFBU,0.0,0.0,0.0,0.0
AA0065LUOXSH,0.0,0.0,0.0,0.0
BA2538CPJQEY,0.0,0.0,0.0,0.0
AA0248MBYHEM,5.05,0.0,5.05,5.05
AA0612TFBMBT,4.5975,0.3523,4.3675,5.15
BA2278SENTFB,0.0,0.0,0.0,0.0
BA2403CPJTKD,4.28,2.14,0.0,5.35
BA2450QEYZWS,0.875,1.6613,0.0,4.7
AA3453CVSQEY,6.25,0.0,6.25,6.25
AA0685EFOTFB,4.855,1.2535,3.8,5.9
AA0686QEYPSE,6.155,1.4738,5.7475,6.87
BA2111QTDTFB,0.0,0.0,0.0,0.0
AA0837TKDIOM,5.8325,3.6664,0.0,8.6
AA0064XSHLUO,0.0,0.0,0.0,0.0
AA0048BERBOD,0.625,1.9015,0.0,5.35
AA0134BODQEY,0.0,0.0,0.0,0.0
BA2325QEYSEN,1.3575,0.6744,0.4925,2.405
AA0153BODPUA,0.0,0.0,0.0,0.0
AA0117TFBBOD,10.4525,2.4367,8.6925,11.15
BA2298FVHTFB,0.0,0.0,0.0,0.0
AA0066DEWZBL,0.0,0.0,0.0,0.0
AA0672TFBEFO,5.865,0.3275,4.95,5.975
AA0670TFBEGX,1.0625,2.0243,0.0,5.6
AA0029PSETFB,6.055,0.585,5.6,6.9
AA0635QIYTFB,6.435,0.345,5.4,6.55
AA0622QEYMBT,3.4775,1.7388,0.0,4.35
BA2363CPJTFB,0.0,0.0,0.0,0.0
AA3465POUQEY,4.945,0.6897,4.15,5.85
AA0583TOBQEY,3.855,1.0511,1.295,4.26
BA2448SOPTFB,4.8875,0.1596,4.8,4.9325
AA0313TGPTFB,3.195,1.5786,0.0,4.15
AA0821TFBTNG,0.4875,1.0764,0.0,3.2
AA0242MBYHEM,4.545,1.515,0.0,5.05
AA3490TFBGBU,0.0,0.0,0.0,0.0
AA0403TKDQEY,0.0,0.0,0.0,0.0
BA2114TFBZZD,4.365,1.1894,2.5325,5.4925
AA0820TNGTFB,0.0,0.0,0.0,0.0
AA0623MBTQEY,3.71,1.6559,0.0,5.25
AA0575TBOQEY,4.48,1.0662,4.37,4.715
BA2162QEYTFB,0.0525,0.2288,0.0,0.0525
BA2248TFBHFH,1.0325,1.4186,0.0,3.03
BA2392TFBHFH,0.355,1.065,0.0,3.55
AA0135QEYBOD,12.37,0.3979,11.425,12.5
AA0638TFBQIY,2.1525,1.7163,0.0,4.7425
BA2269CPJTFB,0.3875,1.1647,0.0,3.6725
AA0324TFBTKD,4.2725,0.1199,4.2725,4.3
AA0255TKEMBY,5.445,1.5548,4.2275,7.3
AA0664TFBEGX,4.8225,2.5357,0.0,7.05
AA0006MBYEDB,6.8125,1.2649,3.5,7.7
BA2506TFBHFH,0.1475,0.6429,0.0,0.1475
AA0126GBJTFB,0.0,0.0,0.0,0.0
BA2220TFBQVX,0.0,0.0,0.0,0.0
AA3478QEYMHC,2.3175,1.7146,0.0,3.75
BA2475TFBTUT,2.5575,2.3133,0.0,4.65
BA2420MBYNGS,4.58,1.0515,4.56,4.9
AA0184GBJBOD,0.0,0.0,0.0,0.0
BA2492TFBCMJ,1.2175,1.0038,0.0,2.775
AA2702IOMCMJ,1.7918,4.3307,0.0,10.7826
BA2542TFBZFH,2.1625,2.4939,0.0,6.05
AA0504TFBTOB,2.535,2.1171,0.0,4.45
AA0603MBTTFB,5.7075,0.3773,5.15,6.0
AA0609MBTTFB,4.5125,2.3136,0.0,6.0
BA2294SENTFB,3.355,1.0789,1.7775,4.85
AA0349PBLTFB,3.0375,1.7537,0.0,4.05
AA3488QEYCVS,1.9125,2.1143,0.0,4.25
BA2241HFHTFB,1.6925,1.5679,0.0,3.6
AA0611MBTTFB,5.235,0.255,5.15,6.0
BA2203ZLNTFB,1.415,0.973,0.0,2.1625
BA2670TFBZMX,5.125,1.6762,1.5025,6.06
AA0125TFBGBJ,9.695,0.9856,8.65,11.55
AA0094BODTFB,0.0,0.0,0.0,0.0
AA3479MHCQEY,3.745,0.0218,3.745,3.75
AA0067TFBLUO,9.11,0.3974,8.6,9.95
AA0633QIYTFB,5.8725,0.6511,5.33,6.55
AA0573TBOQEY,0.5,1.2893,0.0,3.795
BA2488TFBCMJ,0.0225,0.0981,0.0,0.0225
AA0495TBOTFB,4.625,0.0981,4.6,4.67
BA2246QEYTFB,2.4375,0.7951,1.25,3.2075
BA2444TFBHFH,0.375,0.897,0.0,2.56
AA0064BODKOV,3.3275,2.7665,0.0,6.07
AA0385TGPQEY,3.8475,0.8827,3.8475,4.05
AA0530TFBPOU,2.62,2.1665,0.0,4.5
BA2533QEYGBU,0.0,0.0,0.0,0.0
BA2462TFBCAO,1.855,1.9327,0.0,4.85
AA0539POUTFB,1.285,1.8592,0.0,4.45
AA0243HEMMBY,3.7125,2.1434,0.0,4.95
AA0850PHHPBL,2.5825,3.9518,0.0,8.8
BA2216TFBQVX,0.0,0.0,0.0,0.0
AA0493TBOTFB,6.25,0.0,6.25,6.25
AA0858PHHTFB,11.1725,0.5564,10.7,12.1
BA2370TKDQEY,0.91,1.8234,0.0,4.8
AA0062GBJBOD,4.25,0.0,4.25,4.25
AA0120BODTFB,6.8675,0.8707,5.4125,7.8
AA0307TGPTFB,0.42,1.2435,0.0,4.15
AA0673EFOTFB,3.0175,1.7647,0.0,4.0525
BA2289GDBTFB,0.5675,1.3994,0.0,4.45
BA2061TFBQEY,1.175,1.2147,0.0,2.9625
BA2489CMJTFB,1.49,0.6522,0.4,2.32
AA0103TFBBOD,2.15,2.9732,0.0,6.755
