Product,Max_Demand,Sold_Tickets,Legs,Tasks,Assigned_Fleets
P000234,19.308970896031116,19.31,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F16C0Y165 -> F16C0Y165
P000235,12.178849927265578,12.18,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F16C0Y165 -> F16C0Y165
P000240,11.328466541783136,11.33,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F16C0Y165 -> F16C0Y165
P000246,0.43,0.43,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000251,0.02,0.02,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000254,17.398346387252726,15.64,AA0080BODTFB -> BA2140TFBCPJ,AA0080 -> BA2140,F16C0Y165 -> F16C0Y165
P000267,19.40233444079953,19.4,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F16C0Y165
P000268,12.106532362808805,12.11,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F16C0Y165
P000274,0.33,0.33,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F16C0Y165
P000275,0.21,0.21,AA0084BODTFB -> BA2140TFBCPJ,AA0084 -> BA2140,F16C0Y165 -> F16C0Y165
P000277,1.11,1.11,AA0084BODTFB -> BA2140TFBCPJ,AA0084 -> BA2140,F16C0Y165 -> F16C0Y165
P000310,5.7160670621993015,5.72,AA0092BODTFB -> BA2268TFBCPJ,AA0092 -> BA2268,F16C0Y165 -> F16C0Y165
P000320,17.27438845975195,17.27,AA0096BODTFB -> BA2140TFBCPJ,AA0096 -> BA2140,F16C0Y165 -> F16C0Y165
P000331,17.604647889698867,17.6,AA0112BODTFB -> BA2136TFBCPJ,AA0112 -> BA2136,F16C0Y165 -> F16C0Y165
P000341,0.4,0.4,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000342,20.75384575427289,4.67,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000343,0.42,0.42,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000345,12.148261248616333,12.15,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000351,0.32,0.32,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000353,17.29696063784238,17.3,AA0120BODTFB -> BA2217TFBCPJ,AA0120,F16C0Y165
P000365,0.4,0.4,AA0120BODTFB -> BA2426TFBCPJ,AA0120 -> BA2426,F16C0Y165 -> F16C0Y165
P000375,17.355546829228686,17.36,AA0134BODQEY -> BA2223QEYCPJ,AA0134 -> BA2223,F16C0Y165 -> F16C0Y165
P000385,0.04,0.04,AA0051BODCSX,,
P000386,0.47,0.47,AA0051BODCSX,,
P000387,2.3,2.3,AA0051BODCSX,,
P000388,0.1199999999999999,0.12,AA0051BODCSX,,
P000389,13.29,13.29,AA0051BODCSX,,
P000390,12.219999999999995,12.22,AA0051BODCSX,,
P000391,2.1000000000000005,2.1,AA0051BODCSX,,
P000392,0.04,0.04,AA0051BODCSX,,
P000393,0.47,0.47,AA0051BODCSX,,
P000394,1.02,1.02,AA0051BODCSX,,
P000395,17.699999999999996,17.7,AA0051BODCSX,,
P000397,0.5,0.5,AA0055BODCSX,,
P000398,0.51,0.51,AA0055BODCSX,,
P000399,0.04,0.04,AA0055BODCSX,,
P000400,6.9,6.9,AA0055BODCSX,,
