Product,Historical_Demand,MC_Mean_Demand,Expected_Sold,Std_Sold,P5_Sold,P95_Sold,Expected_Unmet,Fare,Legs,Tasks,Assigned_Fleets
P000343,0.42,0.2,0.2,0.4,0.0,0.8,0.0,386.0,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000345,0.33,0.4,0.4,0.49,0.0,1.0,0.0,313.0,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000349,0.02,0.0,0.0,0.0,0.0,0.0,0.0,248.0,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000351,0.32,0.0,0.0,0.0,0.0,0.0,0.0,349.0,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000353,0.42,0.4,0.4,0.49,0.0,1.0,0.0,250.0,AA0120BODTFB -> BA2217TFBCPJ,AA0120,F16C0Y165
P000364,0.42,0.8,0.8,0.75,0.0,1.8,0.0,250.0,AA0120BODTFB -> BA2426TFBCPJ,AA0120 -> BA2426,F16C0Y165 -> F0C0Y76
P000365,0.4,0.0,0.0,0.0,0.0,0.0,0.0,386.0,AA0120BODTFB -> BA2426TFBCPJ,AA0120 -> BA2426,F16C0Y165 -> F0C0Y76
P000375,0.6,1.0,1.0,0.63,0.2,1.8,0.0,250.0,AA0134BODQEY -> BA2223QEYCPJ,AA0134 -> BA2223,F0C0Y76 -> F0C0Y76
P000385,0.04,0.0,0.0,0.0,0.0,0.0,0.0,132.0,AA0051BODCSX,,
P000386,0.47,0.6,0.6,0.49,0.0,1.0,0.0,197.0,AA0051BODCSX,,
P000387,2.3,2.0,2.0,2.53,0.2,5.8,0.0,301.0,AA0051BODCSX,,
P000388,0.12,0.0,0.0,0.0,0.0,0.0,0.0,222.0,AA0051BODCSX,,
P000389,13.29,11.4,11.4,1.36,10.0,13.0,0.0,238.0,AA0051BODCSX,,
P000390,12.22,9.8,9.8,2.23,6.6,12.0,0.0,339.0,AA0051BODCSX,,
P000391,2.1,1.6,1.6,1.02,0.2,2.8,0.0,101.0,AA0051BODCSX,,
P000392,0.04,0.0,0.0,0.0,0.0,0.0,0.0,218.0,AA0051BODCSX,,
P000393,0.47,0.2,0.2,0.4,0.0,0.8,0.0,184.0,AA0051BODCSX,,
P000394,1.02,0.6,0.6,0.8,0.0,1.8,0.0,134.0,AA0051BODCSX,,
P000395,17.7,17.6,17.6,2.65,14.4,21.2,0.0,334.0,AA0051BODCSX,,
P000397,0.5,0.2,0.2,0.4,0.0,0.8,0.0,197.0,AA0055BODCSX,,
P000398,0.51,0.6,0.6,1.2,0.0,2.4,0.0,301.0,AA0055BODCSX,,
P000399,0.04,0.0,0.0,0.0,0.0,0.0,0.0,222.0,AA0055BODCSX,,
P000400,6.9,8.0,8.0,2.28,4.8,10.6,0.0,238.0,AA0055BODCSX,,
P000401,6.76,7.0,7.0,2.76,3.6,10.6,0.0,339.0,AA0055BODCSX,,
P000402,0.33,0.4,0.4,0.49,0.0,1.0,0.0,101.0,AA0055BODCSX,,
P000404,4.03,5.4,5.4,1.5,4.0,7.6,0.0,184.0,AA0055BODCSX,,
P000405,0.04,0.0,0.0,0.0,0.0,0.0,0.0,134.0,AA0055BODCSX,,
