Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
AA0461MBYTFB,19.6,2.7828,17.08,23.0
AA3462QEYPOU,0.0,0.0,0.0,0.0
BA2604MBQMBY,16.56,8.3469,3.8,21.8
BA2484TFBCMJ,0.0,0.0,0.0,0.0
AA0037NTQTFB,20.6,0.0,20.6,20.6
AA3454QEYCVS,16.6,0.8,15.4,17.0
BA2196MBYNNI,0.0,0.0,0.0,0.0
AA0021PSETFB,30.56,1.8521,28.28,32.56
BA2174QEYTFB,3.44,3.6538,0.24,8.96
BA2635QEYTGP,16.4,0.0,16.4,16.4
AA0463MBYTFB,10.56,8.6222,0.0,17.6
BA2288TFBGDB,0.0,0.0,0.0,0.0
BA2428NGSTFB,3.0,6.0,0.0,12.0
BA2225HFHTFB,2.2,4.4,0.0,8.8
BA2444TFBHFH,2.12,4.24,0.0,8.48
AA0225TKETGP,16.8,13.7451,0.0,28.8
BA2634TGPQEY,18.72,2.0576,16.2,20.4
AA0035CPTQEY,30.44,1.92,27.56,31.4
BA2213QVXTFB,0.0,0.0,0.0,0.0
BA2396TFBNTP,15.0,4.9928,8.32,20.24
AA0614TFBMBT,0.0,0.0,0.0,0.0
BA2061TFBQEY,3.2,4.1588,0.0,9.32
AA0620QEYMBT,0.0,0.0,0.0,0.0
AA0038TFBNTQ,21.64,1.92,20.2,24.52
AA0694TFBHFH,0.0,0.0,0.0,0.0
AA0302TFBTGP,6.72,8.2303,0.0,16.8
AA0403TKDQEY,0.0,0.0,0.0,0.0
AA3474TFBMHC,14.6,0.0,14.6,14.6
BA2158TFBFBU,0.0,0.0,0.0,0.0
AA0465MBYTFB,19.16,2.1332,17.6,22.4
AA0043BODCFU,35.0,0.0,35.0,35.0
AA0516TFBTOB,17.8,0.0,17.8,17.8
AA0245NFYMBY,26.2,0.0,26.2,26.2
AA0080BODTFB,0.0,0.0,0.0,0.0
AA0232TBOTKE,0.0,0.0,0.0,0.0
AA0015CPTTFB,30.0,1.4697,28.2,31.2
AA0248MBYHEM,20.2,0.0,20.2,20.2
BA2565QEYTNG,0.0,0.0,0.0,0.0
AA0066KOVTFB,0.0,0.0,0.0,0.0
BA2033ZWSTFB,3.96,4.9677,0.0,10.92
