Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P000857,11.2,13.56,11.2,0.0,183.0,2049.6,AA0181BODGBJ,AA0181,F0C0Y76,AA0181BODGBJ,22.52
P018283,17.2,16.67,17.2,0.0,119.0,2046.8,AA0518TFBTOB,AA0518,F0C0Y76,AA0518TFBTOB,17.8
P033520,14.0,12.98,14.0,0.0,146.0,2044.0,AA3465POUQEY,AA3465,F0C0Y76,AA3465POUQEY,22.24
P015782,25.8,22.92,22.2,3.6,92.0,2042.4,AA0483TBOTFB,AA0483,F16C0Y165,AA0483TBOTFB,3.68
P011195,12.6,12.18,12.6,0.0,162.0,2041.2,AA0019NDPTFB,AA0019,F16C0Y165,AA0019NDPTFB,6.0
P020010,17.4,18.99,16.2,1.2,126.0,2041.2,AA0255TKEMBY,AA0255,F16C0Y165,AA0255TKEMBY,17.2
P022399,40.4,41.29,12.6,27.8,162.0,2041.2,AA0743BUMTFB,AA0743,F16C0Y165,AA0743BUMTFB,32.4
P027267,7.6,9.01,6.6,1.0,309.0,2039.4,AA0117TFBBOD -> BA2371HFHTFB,AA0117 -> BA2371,F0C0Y76 -> F0C0Y76,AA0117TFBBOD,35.52
P032076,6.6,5.72,6.6,0.0,309.0,2039.4,AA0759NDJTFB,AA0759,F16C0Y165,AA0759NDJTFB,20.08
P035620,7.6,6.43,7.6,0.0,268.0,2036.8,AA0861QEYPHH,AA0861,F16C0Y165,AA0861QEYPHH,40.76
P012776,6.8,7.0,6.8,0.0,299.0,2033.2,AA0023PSETFB,AA0023,F16C0Y165,AA0023PSETFB,33.6
P042336,8.4,7.68,8.4,0.0,242.0,2032.8,AA0664TFBEGX -> BA2409ZWSTFB,AA0664 -> BA2409,F0C0Y76 -> F0C0Y76,AA0664TFBEGX,14.6
P047185,9.6,10.62,9.6,0.0,211.55,2030.86,AA2702IOMCMJ,AA2702,F16C0Y165,AA2702IOMCMJ,0.0
P000004,14.0,13.12,14.0,0.0,145.0,2030.0,AA0040BERBOD,AA0040,F12C12Y48,AA0040BERBOD,0.0
P003139,11.8,11.02,11.8,0.0,172.0,2029.6,AA0070BODTJU,,,AA0070BODTJU,0.0
P017076,11.8,10.82,11.8,0.0,172.0,2029.6,AA0075TFBKOV,AA0075,F16C0Y165,AA0075TFBKOV,0.0
P016935,7.6,5.85,7.6,0.0,267.0,2029.2,AA0127TFBGBJ,AA0127,F0C0Y76,AA0127TFBGBJ,38.36
P014712,12.6,13.04,12.6,0.0,161.0,2028.6,AA0307QTQTGP,super_AA0307,F16C0Y165,AA0307QTQTGP,17.04
P031549,32.2,29.71,32.2,0.0,63.0,2028.6,BA2078MBYTKD,BA2078,F0C0Y76,BA2078MBYTKD,3.08
P010156,12.0,13.62,12.0,0.0,169.0,2028.0,AA0256MBYNFY,AA0256,F16C0Y165,AA0256MBYNFY,10.72
P020165,7.4,6.24,7.4,0.0,274.0,2027.6,AA0225TKETGP,super_AA0225,F16C0Y165,AA0225TKETGP,16.8
P021485,7.4,7.59,7.4,0.0,274.0,2027.6,AA0585TOBQEY,AA0585,F0C0Y76,AA0585TOBQEY,17.0
P041016,21.8,17.72,21.8,0.0,93.0,2027.4,BA2473TFBTUT,,,BA2473TFBTUT,0.0
P039808,6.8,5.59,6.8,0.0,298.0,2026.4,AA0851TFBIOM,AA0851,F16C0Y165,AA0851TFBIOM,47.4
P018239,17.0,20.93,17.0,0.0,119.0,2023.0,AA0508TFBTOB,AA0508,F16C0Y165,AA0508TFBTOB,10.16
P015629,12.8,12.41,12.8,0.0,158.0,2022.4,AA0579TBOQEY,AA0579,F16C0Y165,AA0579TBOQEY,11.0
P022021,15.8,12.52,15.8,0.0,128.0,2022.4,BA2087BMXTFB,BA2087,F0C0Y76,BA2087BMXTFB,9.28
P017239,8.6,8.56,8.6,0.0,235.0,2021.0,AA0244TFBMBY,super_AA0244,F16C0Y165,AA0244TFBMBY,17.8
P007693,10.8,9.66,10.8,0.0,187.0,2019.6,AA0067LUOBOD,,,AA0067LUOBOD,0.0
P039254,19.6,16.94,19.6,0.0,103.0,2018.8,BA2136TFBCPJ,BA2136,F16C0Y165,BA2136TFBCPJ,0.0
P044793,19.6,19.38,19.6,0.0,103.0,2018.8,BA2638PBLTFB,BA2638,F0C0Y76,BA2638PBLTFB,16.2
P010832,17.4,21.9,17.4,0.0,116.0,2018.4,AA0252MBYTKE,AA0252,F16C0Y165,AA0252MBYTKE,0.0
P018236,11.4,10.58,11.4,0.0,177.0,2017.8,AA0504TFBTOB,AA0504,F16C0Y165,AA0504TFBTOB,10.68
P017647,14.0,15.68,14.0,0.0,144.0,2016.0,AA0632TFBQIY,AA0632,F16C0Y165,AA0632TFBQIY,17.76
P039258,12.0,10.45,12.0,0.0,168.0,2016.0,BA2136TFBCPJ,BA2136,F16C0Y165,BA2136TFBCPJ,0.0
P042615,14.6,15.56,14.6,0.0,138.0,2014.8,AA0708ZWSMBY,AA0708,F0C0Y76,AA0708ZWSMBY,10.0
P001197,13.6,13.55,13.6,0.0,148.0,2012.8,AA0070BODKOV,super_AA0070,F0C0Y76,AA0070BODKOV,4.04
P045101,15.6,13.59,15.6,0.0,129.0,2012.4,BA2533QEYGBU,BA2533,F0C0Y76,BA2533QEYGBU,0.0
P004624,8.2,8.64,8.2,0.0,245.0,2009.0,AA0005EDBMBY,AA0005,F16C0Y165,AA0005EDBMBY,25.44
